prd_cd,prd_nm,use_yn,del_yn,frm_cd,mat,proc,siz,plate,og,addon
PRD_000146,아크릴키링,Y,N,PRF_CLR_ACRYL,4,3,9,8,1,8
PRD_000147,아크릴마그넷,Y,N,PRF_ACRYL_MAGNET,2,2,7,7,1,1
PRD_000148,아크릴뱃지,Y,N,PRF_CLR_ACRYL,3,1,3,3,0,2
PRD_000149,아크릴집게,Y,N,PRF_ACRYL_CLIP,2,1,3,3,1,1
PRD_000150,아크릴스마트톡,Y,N,PRF_CLR_ACRYL,3,1,3,3,0,2
PRD_000151,맥세이프 스마트톡,Y,N,PRF_CLR_ACRYL,1,2,3,3,0,0
PRD_000152,아크릴명찰,Y,N,PRF_CLR_ACRYL,3,1,3,3,0,2
PRD_000153,아크릴명찰(골드실버),Y,N,PRF_ACRYL_NAMETAG_GS,2,0,3,3,0,0
PRD_000154,아크릴 머리끈,Y,N,PRF_ACRYL_HAIRBAND,2,0,3,3,1,1
PRD_000155,아크릴볼펜,Y,N,PRF_ACRYL_BALLPEN,1,1,3,3,0,0
PRD_000156,아크릴지비츠,Y,N,PRF_ZIBITZ_ACRYL,1,0,5,0,1,0
PRD_000157,아크릴네임택,Y,N,PRF_CLR_ACRYL,1,1,2,2,1,0
PRD_000158,아크릴 포카키링,Y,N,PRF_CLR_ACRYL,1,1,1,1,1,0
PRD_000159,아크릴 코스터,N,N,PRF_CLR_ACRYL,1,0,2,1,1,0
PRD_000160,아크릴자유형스탠드,Y,N,PRF_ACRYL_FREESTAND,1,1,5,5,0,0
PRD_000161,판아크릴,Y,N,PRF_CLR_ACRYL,1,1,2,2,1,0
PRD_000162,아크릴포카스탠드,Y,N,PRF_CLR_ACRYL,1,1,1,0,1,0
PRD_000163,아크릴미니파츠,Y,N,PRF_ACRYL_MINIPART,1,1,1,1,0,0
PRD_000164,아크릴코롯토,N,N,PRF_COROTTO_ACRYL,1,0,6,0,0,0
PRD_000165,포카코롯토,N,N,PRF_ACRYL_PHCOROTTO_TBD,1,0,1,0,0,0
PRD_000166,아크릴카라비너,Y,N,PRF_ACRYL_CARABINER,1,0,4,0,0,0
PRD_000168,아크릴입체코롯토,N,N,PRF_ACRYL_3DCOROTTO_TBD,0,0,0,0,0,0
PRD_000169,아크릴입체블럭,N,N,PRF_ACRYL_3DBLOCK_TBD,1,1,2,0,0,0
PRD_000170,아크릴쉐이커★,N,N,PRF_ACRYL_SHAKER_TBD,0,0,6,0,0,0
PRD_000171,지비츠★,Y,Y,PRF_ZIBITZ_ACRYL,0,0,0,0,0,0
PRD_000226,아크릴쉐이커코롯토,N,N,PRF_GOODS_FIXED_SIZ,4,0,3,0,2,0
