prd_cd,prd_nm,prd_typ_cd,use_yn,del_yn,min_qty,max_qty,qty_incr,editor_yn,nonspec_yn
PRD_000146,아크릴키링,PRD_TYPE.01,Y,N,1,10000,1,N,Y
PRD_000147,아크릴마그넷,PRD_TYPE.01,Y,N,1,10000,1,N,Y
PRD_000148,아크릴뱃지,PRD_TYPE.01,Y,N,1,10000,1,N,Y
PRD_000149,아크릴집게,PRD_TYPE.01,Y,N,1,10000,1,N,Y
PRD_000150,아크릴스마트톡,PRD_TYPE.01,Y,N,1,10000,1,N,Y
PRD_000151,맥세이프 스마트톡,PRD_TYPE.01,Y,N,1,10000,1,N,Y
PRD_000152,아크릴명찰,PRD_TYPE.01,Y,N,1,10000,1,N,Y
PRD_000153,아크릴명찰(골드실버),PRD_TYPE.01,Y,N,1,10000,1,N,Y
PRD_000154,아크릴 머리끈,PRD_TYPE.01,Y,N,1,10000,1,N,Y
PRD_000155,아크릴볼펜,PRD_TYPE.01,Y,N,1,10000,1,N,Y
PRD_000156,아크릴지비츠,PRD_TYPE.01,Y,N,1,10000,1,N,Y
PRD_000157,아크릴네임택,PRD_TYPE.01,Y,N,1,10000,1,N,N
PRD_000158,아크릴 포카키링,PRD_TYPE.01,Y,N,1,10000,1,N,N
PRD_000159,아크릴 코스터,PRD_TYPE.01,N,N,1,10000,1,N,N
PRD_000160,아크릴자유형스탠드,PRD_TYPE.01,Y,N,1,10000,1,N,N
PRD_000161,판아크릴,PRD_TYPE.01,Y,N,1,10000,1,N,N
PRD_000162,아크릴포카스탠드,PRD_TYPE.01,Y,N,1,10000,1,N,N
PRD_000163,아크릴미니파츠,PRD_TYPE.01,Y,N,1,10000,1,N,N
PRD_000164,아크릴코롯토,PRD_TYPE.01,N,N,1,10000,1,N,Y
PRD_000165,포카코롯토,PRD_TYPE.01,N,N,1,10000,1,N,N
PRD_000166,아크릴카라비너,PRD_TYPE.01,Y,N,1,10000,1,Y,N
PRD_000168,아크릴입체코롯토,PRD_TYPE.01,N,N,,,,N,N
PRD_000169,아크릴입체블럭,PRD_TYPE.01,N,N,,,,N,N
PRD_000170,아크릴쉐이커★,PRD_TYPE.01,N,N,,,,N,N
PRD_000171,지비츠★,PRD_TYPE.01,Y,Y,,,,N,Y
PRD_000226,아크릴쉐이커코롯토,PRD_TYPE.01,N,N,1,10000,1,Y,N
