mallProductNo,productName,productManagementCd,saleStatusType,nonmemberPurchaseYn,minorPurchaseYn,memberGradeDisplayInfo,memberGroupDisplayInfo,판정,조회오류
136578130,이미지피켓(소형),PRD_000228,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136578129,아크릴쉐이커코롯토,PRD_000226,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136578128,슬로건,PRD_000208,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136578127,LED투명키캡키링,PRD_000203,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136578126,키캡키링,PRD_000202,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136578125,아크릴코롯토,PRD_000164,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136578124,반칼팬시투명스티커,PRD_000063,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136578123,형압명함,PRD_000038,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136578122,미니접지카드,PRD_000028,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009430,엽서북,PRD_000094,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009429,지그재그엽서,PRD_000030,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009428,3단접지카드,PRD_000029-DUP-136009428,STOP,Y,Y,없음,없음,비회원 구매 가능,
136009427,2단접지카드,PRD_000027-DUP-136009427,STOP,Y,Y,없음,없음,비회원 구매 가능,
136009426,종이슬로건,PRD_000026,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009424,투명포토카드,PRD_000025-DUP-136009424,STOP,Y,Y,없음,없음,비회원 구매 가능,
136009423,포토카드,PRD_000024,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009421,핑크별색엽서,PRD_000021,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009420,스탠다드엽서,PRD_000018-DUP-136009420,STOP,Y,Y,없음,없음,비회원 구매 가능,
136009418,코팅엽서,PRD_000017-DUP-136009418,STOP,Y,Y,없음,없음,비회원 구매 가능,
136009417,프리미엄엽서,PRD_000016,STOP,Y,Y,없음,없음,비회원 구매 가능,
136009416,봉투제작,PRD_000050,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009415,와이드 접지리플렛,PRD_000049,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009412,접지리플렛,PRD_000048,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009411,소량전단지,PRD_000047,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009410,화이트인쇄명함,PRD_000040,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009409,투명명함,PRD_000039,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009407,오리지널박명함,PRD_000037,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009406,미니모양명함,PRD_000036,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009405,모양명함,PRD_000035,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009404,펄명함,PRD_000034,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009402,스탠다드명함,PRD_000033,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009400,코팅명함,PRD_000032,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009399,프리미엄명함,PRD_000031,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009398,족자포스터,PRD_000135,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009397,캔버스 행잉포스터,PRD_000133,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009394,포맥스보드,PRD_000130,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009393,폼보드,PRD_000129,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009392,캔버스패브릭포스터,PRD_000125,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009391,린넨패브릭포스터,PRD_000124,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009388,아트패브릭포스터,PRD_000123,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009387,접착투명포스터,PRD_000122,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009386,접착방수포스터,PRD_000121,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009385,방수포스터,PRD_000120,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009383,아트페이퍼포스터,PRD_000119,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
136009381,아트프린트포스터,PRD_000118,ONSALE,Y,Y,없음,없음,비회원 구매 가능,
